student_id,timestamp,skill_id,correct
S001,2025-12-01T08:00:00Z,SKILL_FRACTIONS_ADD,1
S001,2025-12-01T08:04:00Z,SKILL_FRACTIONS_ADD,0
S001,2025-12-01T08:07:00Z,SKILL_PERCENTAGES_BASIC,1
S001,2025-12-01T08:10:00Z,SKILL_LINEAR_EQ_SOLVE,0
S001,2025-12-01T08:14:00Z,SKILL_LINEAR_EQ_SOLVE,1
S001,2025-12-01T08:18:00Z,SKILL_INDICES_LAWS,0
S001,2025-12-01T08:23:00Z,SKILL_INDICES_LAWS,1
S001,2025-12-01T08:27:00Z,SKILL_RATIO_PROPORTION,0
S001,2025-12-01T08:31:00Z,SKILL_RATIO_PROPORTION,1
S001,2025-12-01T08:35:00Z,SKILL_SIMULTANEOUS_EQ,0
S001,2025-12-01T08:40:00Z,SKILL_SIMULTANEOUS_EQ,0
S001,2025-12-01T08:45:00Z,SKILL_SIMULTANEOUS_EQ,1
S001,2025-12-01T08:49:00Z,SKILL_GRAPH_GRADIENT,0
S001,2025-12-01T08:54:00Z,SKILL_GRAPH_GRADIENT,1
S001,2025-12-01T08:58:00Z,SKILL_PROBABILITY_BASIC,0

S002,2025-12-01T09:02:00Z,SKILL_FRACTIONS_ADD,0
S002,2025-12-01T09:05:00Z,SKILL_FRACTIONS_ADD,1
S002,2025-12-01T09:08:00Z,SKILL_PERCENTAGES_BASIC,0
S002,2025-12-01T09:12:00Z,SKILL_PERCENTAGES_BASIC,0
S002,2025-12-01T09:15:00Z,SKILL_PERCENTAGES_BASIC,1
S002,2025-12-01T09:19:00Z,SKILL_RATIO_PROPORTION,1
S002,2025-12-01T09:22:00Z,SKILL_INDICES_LAWS,0
S002,2025-12-01T09:26:00Z,SKILL_INDICES_LAWS,0
S002,2025-12-01T09:30:00Z,SKILL_INDICES_LAWS,1
S002,2025-12-01T09:34:00Z,SKILL_LINEAR_EQ_SOLVE,1
S002,2025-12-01T09:39:00Z,SKILL_SIMULTANEOUS_EQ,0
S002,2025-12-01T09:44:00Z,SKILL_SIMULTANEOUS_EQ,1
S002,2025-12-01T09:48:00Z,SKILL_GRAPH_GRADIENT,0
S002,2025-12-01T09:52:00Z,SKILL_GRAPH_GRADIENT,0
S002,2025-12-01T09:56:00Z,SKILL_GRAPH_GRADIENT,1

S003,2025-12-01T10:00:00Z,SKILL_ATOMS_STRUCTURE,1
S003,2025-12-01T10:04:00Z,SKILL_ATOMS_STRUCTURE,0
S003,2025-12-01T10:08:00Z,SKILL_PERIODIC_TABLE_TRENDS,0
S003,2025-12-01T10:12:00Z,SKILL_PERIODIC_TABLE_TRENDS,1
S003,2025-12-01T10:17:00Z,SKILL_BALANCING_EQUATIONS,0
S003,2025-12-01T10:22:00Z,SKILL_BALANCING_EQUATIONS,0
S003,2025-12-01T10:27:00Z,SKILL_BALANCING_EQUATIONS,1
S003,2025-12-01T10:32:00Z,SKILL_ACIDS_BASES_PH,0
S003,2025-12-01T10:36:00Z,SKILL_ACIDS_BASES_PH,1
S003,2025-12-01T10:40:00Z,SKILL_ELECTRICITY_OHMS,0
S003,2025-12-01T10:45:00Z,SKILL_ELECTRICITY_OHMS,1

S004,2025-12-01T11:00:00Z,SKILL_LINEAR_EQ_SOLVE,0
S004,2025-12-01T11:04:00Z,SKILL_LINEAR_EQ_SOLVE,0
S004,2025-12-01T11:09:00Z,SKILL_LINEAR_EQ_SOLVE,1
S004,2025-12-01T11:13:00Z,SKILL_SIMULTANEOUS_EQ,0
S004,2025-12-01T11:18:00Z,SKILL_SIMULTANEOUS_EQ,0
S004,2025-12-01T11:23:00Z,SKILL_SIMULTANEOUS_EQ,0
S004,2025-12-01T11:28:00Z,SKILL_GRAPH_GRADIENT,0
S004,2025-12-01T11:33:00Z,SKILL_GRAPH_GRADIENT,0
S004,2025-12-01T11:38:00Z,SKILL_PROBABILITY_BASIC,0
S004,2025-12-01T11:42:00Z,SKILL_PROBABILITY_BASIC,1